Vorschub,Werkzeugverschleiss,Defekte
40.7772,2.1581,0
46.6194,0.0515,1
68.9453,0.9864,0
61.2495,25.1680,5
38.0256,4.4606,0
46.4085,1.7558,1
53.8106,4.8334,1
70.2043,26.2080,3
32.7439,31.6252,3
74.8702,10.7750,2
38.9243,45.7541,1
66.6954,9.0959,5
51.4845,21.6564,3
40.9350,31.9962,2
53.4382,31.2051,3
49.1520,10.2501,0
29.1483,9.8422,1
46.8490,12.8266,1
75.6706,28.3266,4
59.4907,41.9305,7
27.1971,8.6638,1
62.0876,24.3939,3
61.9633,11.0319,1
49.6964,38.9927,4
21.7640,19.7674,2
53.2592,7.7225,1
36.9406,33.6292,7
52.5625,26.9846,1
42.8178,33.2074,2
44.1544,10.9036,0
76.2507,13.2429,2
76.6439,16.0817,2
30.3479,42.1940,3
34.8123,14.5099,2
79.0688,34.4441,6
53.3592,31.4294,4
61.2726,33.5499,5
55.2925,22.1323,2
27.3340,37.7603,0
53.1667,24.0732,1
