Teil,Operator,Messwert
1,A,11.1892
1,A,11.3039
1,A,11.2330
1,B,11.1695
1,B,11.2039
1,B,11.1414
1,C,11.2319
1,C,11.1865
1,C,11.2070
2,A,10.5659
2,A,10.5820
2,A,10.6523
2,B,10.5776
2,B,10.5635
2,B,10.4926
2,C,10.5254
2,C,10.6770
2,C,10.5817
3,A,10.6515
3,A,10.6354
3,A,10.6020
3,B,10.4953
3,B,10.5381
3,B,10.5685
3,C,10.5435
3,C,10.6155
3,C,10.5901
4,A,11.1690
4,A,11.1798
4,A,11.1454
4,B,11.0924
4,B,11.1345
4,B,11.1309
4,C,11.1129
4,C,11.1597
4,C,11.1570
5,A,8.4217
5,A,8.4734
5,A,8.4074
5,B,8.3418
5,B,8.3808
5,B,8.3369
5,C,8.4448
5,C,8.4437
5,C,8.4222
6,A,11.2202
6,A,11.2128
6,A,11.2150
6,B,11.1429
6,B,11.1054
6,B,11.0857
6,C,11.2166
6,C,11.1425
6,C,11.1423
7,A,9.0124
7,A,9.1214
7,A,9.1066
7,B,9.0163
7,B,9.0369
7,B,9.0476
7,C,9.0494
7,C,9.0855
7,C,9.0797
8,A,10.1142
8,A,10.0534
8,A,10.1209
8,B,10.0192
8,B,10.0530
8,B,10.1136
8,C,10.0586
8,C,10.1513
8,C,10.1143
9,A,11.4105
9,A,11.3920
9,A,11.4807
9,B,11.3373
9,B,11.3881
9,B,11.3411
9,C,11.4238
9,C,11.3499
9,C,11.4414
10,A,10.6458
10,A,10.6714
10,A,10.7006
10,B,10.6086
10,B,10.4796
10,B,10.5102
10,C,10.6511
10,C,10.5882
10,C,10.5484
