Teil,Operator,Messwert
1,A,10.5040
1,A,10.5363
1,A,10.3088
1,B,9.7803
1,B,10.5180
1,B,10.0891
1,C,10.3009
1,C,10.5753
1,C,10.7237
2,A,9.9654
2,A,9.9482
2,A,9.5722
2,B,9.3719
2,B,9.2872
2,B,9.5446
2,C,9.8969
2,C,9.9966
2,C,9.7553
3,A,10.2085
3,A,10.5879
3,A,10.6415
3,B,10.0483
3,B,9.5271
3,B,10.3997
3,C,10.3208
3,C,10.4353
3,C,10.3634
4,A,10.4614
4,A,10.7686
4,A,10.8268
4,B,10.4089
4,B,10.7752
4,B,10.0918
4,C,10.7999
4,C,10.3384
4,C,10.8282
5,A,10.4664
5,A,10.6456
5,A,10.5506
5,B,10.0566
5,B,10.2092
5,B,10.8181
5,C,10.1990
5,C,10.4389
5,C,10.2495
6,A,10.4570
6,A,9.8446
6,A,10.4796
6,B,10.4178
6,B,9.6065
6,B,10.0430
6,C,9.9913
6,C,10.5581
6,C,10.3906
7,A,10.8853
7,A,10.8761
7,A,10.4088
7,B,9.7722
7,B,10.1520
7,B,9.9303
7,C,10.3302
7,C,10.4994
7,C,9.8110
8,A,10.6910
8,A,10.2382
8,A,10.6003
8,B,10.0087
8,B,9.2310
8,B,10.1730
8,C,10.4705
8,C,10.6674
8,C,10.4578
9,A,10.0779
9,A,10.2277
9,A,10.0963
9,B,9.1874
9,B,9.9125
9,B,10.0283
9,C,10.3025
9,C,10.1151
9,C,9.6202
10,A,9.4057
10,A,9.8623
10,A,9.8512
10,B,9.6209
10,B,9.4755
10,B,9.6363
10,C,9.6747
10,C,10.2635
10,C,10.1774
