Drehzahl,Drehmoment,Leistung
1428.8648,53.9557,29.3092
1833.6436,72.5695,38.7691
2615.3905,106.3496,59.4010
1547.8466,64.4738,36.2048
2631.5591,102.9628,58.3773
1215.2661,49.5166,25.6387
1872.8049,74.5496,41.5180
2677.6644,107.9965,59.3370
1397.3295,58.9681,33.7394
1605.3152,61.1930,33.3563
1686.3085,65.7993,34.7018
1423.7363,56.4015,31.5266
2841.6985,109.5415,57.9131
2114.2250,81.1139,43.2755
2691.4057,107.2304,58.7266
2069.0230,84.0310,47.8958
1496.9174,60.2139,30.9404
1528.4858,60.2278,32.4527
2893.0736,115.7923,63.0230
1418.9109,57.7931,28.7346
1019.5182,41.6428,23.4214
2251.8691,87.2232,47.1964
1678.4594,64.0838,34.9347
1925.8910,78.7886,43.5094
1263.4432,47.1063,24.2004
1975.0302,80.8394,42.5326
1302.2008,53.4159,31.3385
2261.0604,89.0688,48.9522
1013.9320,40.7654,23.9997
2169.9077,88.1242,50.5272
