Entfernung,Verkehr,Lieferzeit
2.5578,5,20.2830
7.8590,2,28.2354
5.8736,5,27.1234
4.7608,5,27.2689
4.5815,5,20.8221
9.5910,4,38.8963
10.9092,3,42.1747
2.5396,4,19.3857
8.0070,2,29.0718
3.9305,2,15.8986
11.6201,3,39.6391
11.0783,5,37.8103
7.8125,4,29.2880
9.1564,3,30.9102
6.4243,3,25.2283
9.9978,3,36.1706
5.6564,3,21.6298
4.3963,5,20.0201
3.6958,1,13.4337
3.1028,2,13.2205
6.5469,3,22.1050
5.4555,4,21.6129
8.1266,3,31.5030
0.6477,2,7.8325
5.6486,1,20.8356
4.6996,2,16.7152
2.7471,1,13.4070
7.3410,4,24.6708
5.5061,3,20.9677
3.9499,2,21.7838
