X1,X2
9.4430,17.8709
9.4997,19.1593
9.9555,20.2643
10.0867,19.8516
9.7519,18.4807
9.6700,20.2459
10.0307,19.0573
9.0826,18.7571
11.8523,23.7010
10.8144,21.8733
9.4757,18.0973
9.1637,17.7089
9.8257,20.0591
11.7311,22.7193
10.7309,19.3088
9.9616,21.1978
11.6278,23.5493
10.8584,20.5041
12.8445,24.4945
9.6387,19.4812
10.2156,23.1820
11.0843,22.2895
9.8390,17.5250
10.9086,21.3701
10.5786,23.0546
10.1041,21.2058
9.8850,18.6837
9.1481,20.7732
11.5810,22.6193
11.5000,17.0000
8.8000,23.5000
11.3882,20.6831
9.3073,18.6879
10.0255,19.9861
10.2312,21.1606
10.4696,20.6288
9.7404,18.9269
9.6072,19.2184
9.7210,18.2083
10.2589,20.9376
